timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
0,0,ogs.google.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,ogs.google.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,www.google.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,www.google.com:443,,"An established connection was aborted by the software in your host machine
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1775,0,0,0,null,0,0,0
0,0,www.google.com:443,,"An established connection was aborted by the software in your host machine
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1775,0,0,0,null,0,0,0
1721395367445,9,/hospital/-63,200,OK,,text,true,,17354,487,0,0,http://10.0.0.5/hospital/,6,0,1
0,0,fonts.googleapis.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,content-autofill.googleapis.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,content-autofill.googleapis.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,content-autofill.googleapis.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,content-autofill.googleapis.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
1721395378878,8,/hospital/hms/user-login.php-64,200,OK,,text,true,,3670,541,0,0,http://10.0.0.5/hospital/hms/user-login.php,8,0,2
0,0,fonts.googleapis.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
0,0,content-autofill.googleapis.com:443,,"Received fatal alert: certificate_unknown
**ensure browser is set to accept the JMeter proxy certificate**",,,false,,1372,0,0,0,null,0,0,0
